"_id","title","tags","original-price","discount","price-main-md","seller","ProductId","price-promotional"
"ObjectId(""6296b11afc39a4381467488d"")","Transformers Studio Series  Decepticon MEGATRON 34 Leader Class","[""juguetes-ninos-y-bebes"",""juguetes-ninos-y-bebes/juguetes-y-juegos"",""juguetes-y-juegos/figuras-de-accion-y-coleccionables"",""figuras-de-accion-y-coleccionables/figuras-de-accion"",""https://www.linio.com.pe/cm/productos-internacionales-en-peru"",""https://www.linio.com.pe/sp/preguntas-frecuentes/productos-internacionales#s1""]",699.88,0.20000571526547406,559.9,"{""score"":4.8,""link-low-md"":""Yasuee""}",10001,
"ObjectId(""6296b11afc39a4381467488e"")","Zapatilla DC SHOES ANVIL Para Hombre-BB2","[""moda"",""moda/hombre"",""hombre/zapatos-hombre"",""zapatos-hombre/zapatillas-urbanas""]",,,259,"{""score"":4.6,""link-low-md"":""Ola y Montana""}",10002,
"ObjectId(""6296b11afc39a4381467488f"")","Nuevos zapatos de fútbol estudiantil para hombre Black spikes","[""deportes"",""deportes/ropa-y-calzado-deportivo-ninos"",""ropa-y-calzado-deportivo-ninos/calzado-deportivo-ninos"",""calzado-deportivo-ninos/zapatillas-para-futsal-ninos"",""https://www.linio.com.pe/cm/productos-internacionales-en-peru"",""https://www.linio.com.pe/sp/preguntas-frecuentes/productos-internacionales#s1""]",210,0.16666666666666663,175,"{""score"":4.4,""link-low-md"":""Dosoma""}",10003,
"ObjectId(""6296b11afc39a43814674890"")","Pack SomeThing Special - SOMETHING SPECIAL","[""despensa-vinos-y-gourmet"",""despensa-vinos-y-gourmet/vinos-y-licores"",""vinos-y-licores/licores"",""licores/whisky""]",94.9,0.03161222339304526,91.9,"{""score"":4.5,""link-low-md"":""HIPERMERCADOS TOTTUS 1""}",10004,
"ObjectId(""6296b11afc39a43814674891"")","La Promesa De Julia - Blue Jeans.","[""libros-y-peliculas"",""libros-y-peliculas/libros"",""libros/literatura-y-novelas"",""literatura-y-novelas/literatura-juvenil""]",,,69,"{""score"":4.7,""link-low-md"":""SBS Libreria""}",10005,
"ObjectId(""6296b11afc39a43814674892"")","Lasagne al Huevo Divella 500 gr.","[""despensa-vinos-y-gourmet"",""despensa-vinos-y-gourmet/despensa"",""despensa/arroz-pasta-y-semillas"",""arroz-pasta-y-semillas/pasta""]",,,17.8,"{""score"":4.9,""link-low-md"":""Best Brands SAC""}",10006,
"ObjectId(""6296b11afc39a43814674893"")","Labial Superstay Matte Ink City Edition Maybelline","[""belleza-y-cuidado-personal"",""belleza-y-cuidado-personal/articulos-de-belleza-para-profesionales"",""articulos-de-belleza-para-profesionales/maquillaje-para-profesionales"",""maquillaje-para-profesionales/maquillaje-profesional-de-labios"",""maquillaje-profesional-de-labios/labiales-profesionales""]",48.9,0.020449897750511203,47.9,"{""score"":4.5,""link-low-md"":""Falabella""}",10007,
"ObjectId(""6296b11afc39a43814674894"")","JBL Charge 5 Parlante Bluetooth 5.1 Acuatico 30W","[""tv-audio-y-video"",""tv-audio-y-video/audio"",""audio/docks-y-parlantes"",""docks-y-parlantes/parlantes""]",999,0.3203203203203203,679,"{""score"":4.7,""link-low-md"":""Full Novedades""}",10008,
"ObjectId(""6296b11afc39a43814674895"")","Reloj Guess W1068L3 para Dama - Negro","[""moda"",""moda/relojes"",""relojes/relojes-mujer"",""relojes-mujer/relojes-de-licencia-mujer"",""https://www.linio.com.pe/cm/productos-internacionales-en-peru"",""https://www.linio.com.pe/sp/preguntas-frecuentes/productos-internacionales#s1""]",539,0.33395176252319114,359,"{""score"":4.8,""link-low-md"":""All In Brands""}",10009,299.9
"ObjectId(""6296b11afc39a43814674896"")","Transformers Generations Studio Series 77 N.E.S.T. Clase de abejorro","[""juguetes-ninos-y-bebes"",""juguetes-ninos-y-bebes/juguetes-y-juegos"",""juguetes-y-juegos/figuras-de-accion-y-coleccionables"",""figuras-de-accion-y-coleccionables/figuras-de-accion"",""https://www.linio.com.pe/cm/productos-internacionales-en-peru"",""https://www.linio.com.pe/sp/preguntas-frecuentes/productos-internacionales#s1""]",692.38,0.20000577717438406,553.9,"{""score"":4.7,""link-low-md"":""Yasuee""}",10010,
"ObjectId(""6296b11afc39a43814674897"")","Casaca Hombre Jade Camuflada - Forro Polar- Zehn","[""moda"",""moda/hombre"",""hombre/ropa-hombres"",""ropa-hombres/chamarras-y-abrigos-hombre"",""chamarras-y-abrigos-hombre/chaquetas-y-abrigos-ligeros-hombre""]",100,0.20099999999999996,79.9,"{""score"":4.5,""link-low-md"":""ZehnClothing.com""}",10011,
"ObjectId(""6296b11afc39a43814674898"")","Pack 3 Barriles Cerveza Heineken de 5 Litros c/u+Vaso regalo","[""despensa-vinos-y-gourmet"",""despensa-vinos-y-gourmet/vinos-y-licores"",""vinos-y-licores/cervezas"",""cervezas/cerveza-clara""]",400,0.23750000000000004,305,"{""score"":4.2,""link-low-md"":""Ingeniería de Control SG""}",10012,
"ObjectId(""6296b11afc39a43814674899"")","Luz LED para bisagra de armario, luz de noche con Sensor LED, para c =","[""ferreteria"",""ferreteria/carpinteria"",""carpinteria/bisagras"",""https://www.linio.com.pe/cm/productos-internacionales-en-peru"",""https://www.linio.com.pe/sp/preguntas-frecuentes/productos-internacionales#s1""]",111,0.18018018018018023,91,"{""score"":4.3,""link-low-md"":""fukela""}",10013,
"ObjectId(""6296b11afc39a4381467489a"")","Parrilla a Carbón Mr Beef con Ahumador 2 en 1 - Negro","[""hogar"",""hogar/jardin-y-bbq"",""jardin-y-bbq/asadores-y-parrillas"",""asadores-y-parrillas/parrillas-y-asadores-de-carbon""]",,,799.9,"{""score"":4.5,""link-low-md"":""Sodimac Perú""}",10014,749.9
"ObjectId(""6296b11afc39a4381467489b"")","Lacoste Pour Homme 100ml  para Hombre -Eau de Toilette","[""belleza-y-cuidado-personal"",""belleza-y-cuidado-personal/perfumeria-y-fragancias"",""perfumeria-y-fragancias/perfumes-para-hombre""]",,,249,"{""score"":4.6,""link-low-md"":""Importaciones Coconut""}",10015,
"ObjectId(""6296b11afc39a4381467489c"")","Consola Super Mini Classic Edition SNES 21","[""consolas-y-videojuegos"",""consolas-y-videojuegos/coleccionables-consolas-y-videojuegos"",""https://www.linio.com.pe/cm/productos-internacionales-en-peru"",""https://www.linio.com.pe/sp/preguntas-frecuentes/productos-internacionales#s1""]",455,0.38681318681318677,279,"{""score"":4.3,""link-low-md"":""YoursLoveCity""}",10016,
"ObjectId(""6296b11afc39a4381467489d"")","Lámpara escritorio multifuncional interruptor LED carga por USB tacto","[""hogar"",""hogar/iluminacion"",""iluminacion/iluminacion-interior"",""iluminacion-interior/lamparas-de-mesa"",""https://www.linio.com.pe/cm/productos-internacionales-en-peru"",""https://www.linio.com.pe/sp/preguntas-frecuentes/productos-internacionales#s1""]",,,124.9,"{""score"":4.2,""link-low-md"":""JIPUSH""}",10017,
"ObjectId(""6296b11afc39a4381467489e"")","Báscula de peso inteligente escala de pesaje de grasa corporal","[""salud-y-bienestar"",""salud-y-bienestar/basculas-y-medidores-de-grasa"",""basculas-y-medidores-de-grasa/basculas"",""https://www.linio.com.pe/cm/productos-internacionales-en-peru"",""https://www.linio.com.pe/sp/preguntas-frecuentes/productos-internacionales#s1""]",586,0.19965870307167233,469,"{""score"":4.4,""link-low-md"":""KB ZONE""}",10018,
"ObjectId(""6296b11afc39a4381467489f"")","CULPA NUESTRA CULPABLES 3","[""libros-y-peliculas"",""libros-y-peliculas/libros"",""libros/literatura-y-novelas"",""literatura-y-novelas/literatura-juvenil""]",,,79,"{""score"":4.7,""link-low-md"":""SBS Libreria""}",10019,
"ObjectId(""6296b11afc39a438146748a0"")","Perfume Cien fragancias Equivalente AURA THIERRY MUGLER","[""belleza-y-cuidado-personal"",""belleza-y-cuidado-personal/perfumeria-y-fragancias"",""perfumeria-y-fragancias/perfumes-para-mujer""]",120,0.41675000000000006,69.99,"{""score"":4.5,""link-low-md"":""SITCOM SAC""}",10020,
"ObjectId(""6296b11afc39a438146748a1"")","TECLADO MECÁNICO LOGITECH G413 RED LIGHT NEGRO","[""computacion"",""computacion/zona-gamer"",""zona-gamer/equipos-gamers""]",699,0.2848354792560801,499.9,"{""score"":4.8,""link-low-md"":""Achorao""}",10021,
"ObjectId(""6296b11afc39a438146748a2"")","Maid Sama N.4 Panini Maid Sama N.4","[""libros-y-peliculas"",""libros-y-peliculas/libros"",""libros/literatura-y-novelas"",""literatura-y-novelas/historietas-y-comics""]",,,29,"{""score"":4.5,""link-low-md"":""Falabella""}",10022,
"ObjectId(""6296b11afc39a438146748a3"")","1Pair Knee Pads Professional Protective Gear Eva Foam","[""deportes"",""deportes/deportes-de-equipo"",""deportes-de-equipo/beisbol"",""beisbol/proteccion-personal-para-beisbol"",""proteccion-personal-para-beisbol/rodilleras-para-beisbol"",""https://www.linio.com.pe/cm/productos-internacionales-en-peru"",""https://www.linio.com.pe/sp/preguntas-frecuentes/productos-internacionales#s1""]",400,0.5,200,"{""link-low-md"":""sanlindou""}",10023,
"ObjectId(""6296b11afc39a438146748a4"")","Head - Raqueta de Tenis Para Niños - Novak 21 (5-6 Años) - 2021 - Rojo","[""deportes"",""deportes/deportes-de-raqueta"",""deportes-de-raqueta/tenis"",""tenis/raquetas-de-tenis""]",,,188.33,"{""score"":4.8,""link-low-md"":""ALTENIS SPORTS""}",10024,
"ObjectId(""6296b11afc39a438146748a5"")","Zapatillas Urbanas para Hombre Adidas Grand Court-Blanco","[""moda"",""moda/hombre"",""hombre/zapatos-hombre"",""zapatos-hombre/zapatillas-deportivas-hombre"",""zapatillas-deportivas-hombre/zapatillas-para-caminar-hombre""]",,,,"{""score"":4.5,""link-low-md"":""Falabella""}",10025,
"ObjectId(""6296b11afc39a438146748a6"")","Dispensador Palanca de Papel Toalla jumbo Ebriel","[""ferreteria"",""ferreteria/plomeria"",""plomeria/plomeria-de-bano"",""plomeria-de-bano/dispensadores-y-secadores-de-mano""]",,,156,"{""link-low-md"":""RONDINEL HUAMA GISSELA ELIZABETH""}",10026,
"ObjectId(""6296b11afc39a438146748a7"")","Polo Cuello Box Hombre Renato Core Manga Corta Negro.","[""moda"",""moda/hombre"",""hombre/ropa-hombres"",""ropa-hombres/polos-pique-hombre""]",59.9,0.4,35.94,"{""score"":4.8,""link-low-md"":""TopiTop""}",10027,
"ObjectId(""6296b11afc39a438146748a8"")","Centro de TV 50¿ Itaipu","[""hogar"",""hogar/muebles"",""muebles/muebles-de-sala"",""muebles-de-sala/muebles-para-tv"",""muebles-para-tv/centros-de-entretenimiento""]",949,0.410958904109589,559,"{""score"":4.5,""link-low-md"":""Falabella""}",10028,
"ObjectId(""6296b11afc39a438146748a9"")","Polo Black Ralph Lauren Men EDT 75 ml","[""belleza-y-cuidado-personal"",""belleza-y-cuidado-personal/perfumeria-y-fragancias"",""perfumeria-y-fragancias/perfumes-para-hombre"",""https://www.linio.com.pe/cm/productos-internacionales-en-peru"",""https://www.linio.com.pe/sp/preguntas-frecuentes/productos-internacionales#s1""]",,,511,"{""score"":5,""link-low-md"":""Perfume Worldwide Inc.""}",10029,
"ObjectId(""6296b11afc39a438146748aa"")","Zapatillas de moda casual de gran tamaño para mujer - negro","[""moda"",""moda/mujeres"",""mujeres/zapatos-mujer"",""zapatos-mujer/alpargatas-mujer"",""https://www.linio.com.pe/cm/productos-internacionales-en-peru"",""https://www.linio.com.pe/sp/preguntas-frecuentes/productos-internacionales#s1""]",149,0.3966442953020134,89.9,"{""score"":4.1,""link-low-md"":""Best Deal""}",10030,79.9
"ObjectId(""6296b11afc39a438146748ab"")","Maquillaje-SombrasparaojosPowderKissSoftMatte-GiveAGlam Marca  MAC","[""belleza-y-cuidado-personal"",""belleza-y-cuidado-personal/articulos-de-belleza-para-profesionales"",""articulos-de-belleza-para-profesionales/maquillaje-para-profesionales"",""maquillaje-para-profesionales/maquillaje-profesional-para-ojos-y-cejas"",""maquillaje-profesional-para-ojos-y-cejas/sombras-profesionales""]",,,95,"{""score"":4.5,""link-low-md"":""Falabella""}",10031,
"ObjectId(""6296b11afc39a438146748ac"")","Resident Evil 2 Xbox One","[""consolas-y-videojuegos"",""consolas-y-videojuegos/xbox-videojuegos"",""xbox-videojuegos/videojuegos-xbox"",""videojuegos-xbox/videojuegos-xbox-one""]",199,0.5527638190954773,89,"{""score"":4.7,""link-low-md"":""PRO GAMES PERU""}",10032,
"ObjectId(""6296b11afc39a438146748ad"")","explicado a los niños","[""libros-y-peliculas"",""libros-y-peliculas/libros"",""libros/libros-infantiles"",""libros-infantiles/aprendiendo-a-leer""]",,,79,"{""score"":4.7,""link-low-md"":""SBS Libreria""}",10033,
"ObjectId(""6296b11afc39a438146748ae"")","Motocicleta Moto Casco Auricular Bluetooth Auriculares Auriculares con micrófono","[""celulares-y-tablets"",""celulares-y-tablets/walkie-talkies"",""https://www.linio.com.pe/cm/productos-internacionales-en-peru"",""https://www.linio.com.pe/sp/preguntas-frecuentes/productos-internacionales#s1""]",340,0.4117647058823529,200,"{""score"":4.1,""link-low-md"":""Huadier""}",10034,
"ObjectId(""6296b11afc39a438146748af"")","Filamento Pla Pro Black Flashforge 013-016191","[""ferreteria"",""ferreteria/seguridad"",""seguridad/cadenas-cuerdas-y-accesorios""]",,,93,"{""score"":4.5,""link-low-md"":""Falabella""}",10035,
"ObjectId(""6296b11afc39a438146748b0"")","Marco de Fotos  Glo 13x18 cm - Cromo","[""hogar"",""hogar/articulos-decorativos"",""articulos-decorativos/portarretratos""]",109.9,0.2001819836214741,87.9,"{""score"":4.5,""link-low-md"":""Falabella""}",10036,
"ObjectId(""6296b11afc39a438146748b1"")","Reloj Nautica NAPCRF910 para Caballero - Negro","[""moda"",""moda/relojes"",""relojes/relojes-hombre"",""relojes-hombre/relojes-de-licencia-hombre"",""https://www.linio.com.pe/cm/productos-internacionales-en-peru"",""https://www.linio.com.pe/sp/preguntas-frecuentes/productos-internacionales#s1""]",639,0.29733959311424096,449,"{""score"":4.8,""link-low-md"":""All In Brands""}",10037,399.9
"ObjectId(""6296b11afc39a438146748b2"")","Mr. Grill - Termómetro Digital con Mando a Distancia - Orange","[""hogar"",""hogar/jardin-y-bbq"",""jardin-y-bbq/asadores-y-parrillas"",""asadores-y-parrillas/accesorios-de-parrillas""]",,,408.99,"{""score"":4.6,""link-low-md"":""THE HUNGRY MAN S.A.C. 2""}",10038,
"ObjectId(""6296b11afc39a438146748b3"")","Vtech -Dino Babysaurio Interactivo con 9 Fichas para Cambiar la Personalidad","[""juguetes-ninos-y-bebes"",""juguetes-ninos-y-bebes/bebes"",""bebes/juguetes-y-entretenimiento-para-bebes"",""juguetes-y-entretenimiento-para-bebes/juguetes-para-bebes"",""juguetes-para-bebes/moviles-para-bebes""]",500,0.2702,364.9,"{""score"":4.5,""link-low-md"":""Withy Toys""}",10039,
"ObjectId(""6296b11afc39a438146748b4"")","2en1 más del movimiento de control remoto para serie de juegos Wii","[""consolas-y-videojuegos"",""consolas-y-videojuegos/videojuegos-para-pc"",""https://www.linio.com.pe/cm/productos-internacionales-en-peru"",""https://www.linio.com.pe/sp/preguntas-frecuentes/productos-internacionales#s1""]",96,0.38541666666666663,59,"{""score"":3.9,""link-low-md"":""E-ibest""}",10040,
"ObjectId(""6296b11afc39a438146748b5"")","Organizador Infantil Castillo Modular Azul","[""juguetes-ninos-y-bebes"",""juguetes-ninos-y-bebes/muebles-infantiles"",""muebles-infantiles/habitacion-infantil"",""habitacion-infantil/muebles-para-infantiles"",""muebles-para-infantiles/armarios-para-habitacion-infantil""]",119,0.33613445378151263,79,"{""score"":4.6,""link-low-md"":""SASHIJA GROUP S.A.C.""}",10041,
"ObjectId(""6296b11afc39a438146748b6"")","Boss The Scent For Her Hugo Boss Women EDP 100 ml","[""belleza-y-cuidado-personal"",""belleza-y-cuidado-personal/perfumeria-y-fragancias"",""perfumeria-y-fragancias/perfumes-para-mujer"",""https://www.linio.com.pe/cm/productos-internacionales-en-peru"",""https://www.linio.com.pe/sp/preguntas-frecuentes/productos-internacionales#s1""]",,,577,"{""score"":5,""link-low-md"":""Perfume Worldwide Inc.""}",10042,
"ObjectId(""6296b11afc39a438146748b7"")","Miel de Abeja 1Kg + Sal de Maras 2Kg Alkaline Care","[""despensa-vinos-y-gourmet"",""despensa-vinos-y-gourmet/despensa"",""despensa/cereales-y-desayuno"",""cereales-y-desayuno/miel-y-jarabe""]",,,55,"{""score"":4.8,""link-low-md"":""Alkaline Care Center""}",10043,
"ObjectId(""6296b11afc39a438146748b8"")","Paris Saint-Germain Football Club Away Colours Mbappé 7","[""deportes"",""deportes/fan-shop"",""fan-shop/fan-shop-futbol"",""fan-shop-futbol/ropa-fan-shop-futbol"",""https://www.linio.com.pe/cm/productos-internacionales-en-peru"",""https://www.linio.com.pe/sp/preguntas-frecuentes/productos-internacionales#s1""]",220,0.2318181818181818,169,"{""link-low-md"":""Huang""}",10044,
"ObjectId(""6296b11afc39a438146748b9"")","50w E27 Led Crecer Luz Planta Lámpara Bulbo Luz Planta De Espectro","[""hogar"",""hogar/iluminacion"",""iluminacion/iluminacion-interior"",""iluminacion-interior/lamparas-de-pared"",""https://www.linio.com.pe/cm/productos-internacionales-en-peru"",""https://www.linio.com.pe/sp/preguntas-frecuentes/productos-internacionales#s1""]",339.98,0.4264662627213366,194.99,"{""score"":4.4,""link-low-md"":""WerleoDirect""}",10045,
"ObjectId(""6296b11afc39a438146748ba"")","PANTALON DRILL STRETCH NORTON PARA HOMBRE - NEGRO","[""moda"",""moda/hombre"",""hombre/ropa-hombres"",""ropa-hombres/pantalones-hombre"",""pantalones-hombre/pantalones-casuales""]",169,0.20000000000000007,135.2,"{""score"":4.7,""link-low-md"":""Grupo Pionier""}",10046,
