"_id","CustomerId","Date","PaymentMethod","Items"
"ObjectId(""6296b205fc39a43814674e6c"")",1111,"2019-03-19T06:22:32.000Z","{""Credit"":{""Quotes"":6,""Back"":""Banco Falabella""}}","[{""ProductId"":10054,""Amount"":1},{""ProductId"":10066,""Amount"":1},{""ProductId"":10350,""Amount"":3},{""ProductId"":10012,""Amount"":1},{""ProductId"":10222,""Amount"":11},{""ProductId"":10332,""Amount"":0},{""ProductId"":10232,""Amount"":5},{""ProductId"":10036,""Amount"":1},{""ProductId"":10382,""Amount"":0},{""ProductId"":10230,""Amount"":4},{""ProductId"":10141,""Amount"":7},{""ProductId"":10089,""Amount"":3},{""ProductId"":10314,""Amount"":4},{""ProductId"":10462,""Amount"":1},{""ProductId"":10129,""Amount"":3},{""ProductId"":10437,""Amount"":3},{""ProductId"":10333,""Amount"":2},{""ProductId"":10010,""Amount"":8}]"
"ObjectId(""6296b205fc39a43814674e6d"")",1851,"2020-02-05T10:35:21.000Z","{""Cash"":""Debit""}","[{""ProductId"":10459,""Amount"":3},{""ProductId"":10245,""Amount"":1},{""ProductId"":10496,""Amount"":2}]"
"ObjectId(""6296b205fc39a43814674e6e"")",1275,"2020-02-11T09:57:04.000Z","{""Credit"":{""Quotes"":3,""Back"":""BBVA""}}","[{""ProductId"":10463,""Amount"":3},{""ProductId"":10217,""Amount"":0},{""ProductId"":10342,""Amount"":5},{""ProductId"":10484,""Amount"":5},{""ProductId"":10074,""Amount"":4},{""ProductId"":10179,""Amount"":5},{""ProductId"":10418,""Amount"":7},{""ProductId"":10059,""Amount"":0},{""ProductId"":10321,""Amount"":11},{""ProductId"":10416,""Amount"":6},{""ProductId"":10061,""Amount"":4}]"
"ObjectId(""6296b205fc39a43814674e6f"")",1860,"2020-05-22T18:24:20.000Z","{""Credit"":{""Quotes"":1,""Back"":""Banco de Crédito del Perú""}}","[{""ProductId"":10468,""Amount"":1},{""ProductId"":10155,""Amount"":4}]"
"ObjectId(""6296b205fc39a43814674e70"")",1963,"2019-01-08T01:34:01.000Z","{""Cash"":""Cash""}","[{""ProductId"":10082,""Amount"":1},{""ProductId"":10128,""Amount"":3},{""ProductId"":10441,""Amount"":2},{""ProductId"":10033,""Amount"":1},{""ProductId"":10269,""Amount"":5},{""ProductId"":10174,""Amount"":1},{""ProductId"":10214,""Amount"":9},{""ProductId"":10362,""Amount"":4},{""ProductId"":10484,""Amount"":5},{""ProductId"":10472,""Amount"":0},{""ProductId"":10373,""Amount"":1},{""ProductId"":10110,""Amount"":4},{""ProductId"":10105,""Amount"":1},{""ProductId"":10134,""Amount"":9},{""ProductId"":10373,""Amount"":1},{""ProductId"":10174,""Amount"":1},{""ProductId"":10128,""Amount"":3},{""ProductId"":10213,""Amount"":4}]"
"ObjectId(""6296b205fc39a43814674e71"")",1016,"2019-09-20T17:50:13.000Z","{""Cash"":""Cash""}","[{""ProductId"":10120,""Amount"":4},{""ProductId"":10206,""Amount"":2},{""ProductId"":10471,""Amount"":6},{""ProductId"":10345,""Amount"":2},{""ProductId"":10497,""Amount"":0},{""ProductId"":10275,""Amount"":3},{""ProductId"":10209,""Amount"":1},{""ProductId"":10108,""Amount"":3},{""ProductId"":10266,""Amount"":2},{""ProductId"":10324,""Amount"":6},{""ProductId"":10252,""Amount"":3},{""ProductId"":10073,""Amount"":4},{""ProductId"":10089,""Amount"":3},{""ProductId"":10399,""Amount"":1},{""ProductId"":10111,""Amount"":1},{""ProductId"":10060,""Amount"":0},{""ProductId"":10085,""Amount"":2},{""ProductId"":10447,""Amount"":3}]"
"ObjectId(""6296b205fc39a43814674e72"")",1628,"2019-09-16T17:15:47.000Z","{""Cash"":""Debit""}","[{""ProductId"":10459,""Amount"":3},{""ProductId"":10472,""Amount"":0},{""ProductId"":10397,""Amount"":2},{""ProductId"":10363,""Amount"":6},{""ProductId"":10235,""Amount"":4},{""ProductId"":10493,""Amount"":7},{""ProductId"":10232,""Amount"":5},{""ProductId"":10352,""Amount"":0},{""ProductId"":10412,""Amount"":8},{""ProductId"":10120,""Amount"":4},{""ProductId"":10339,""Amount"":1},{""ProductId"":10253,""Amount"":1},{""ProductId"":10412,""Amount"":8},{""ProductId"":10230,""Amount"":4}]"
"ObjectId(""6296b205fc39a43814674e73"")",1800,"2019-01-03T23:46:23.000Z","{""Cash"":""Cash""}","[{""ProductId"":10466,""Amount"":0},{""ProductId"":10368,""Amount"":4},{""ProductId"":10476,""Amount"":2},{""ProductId"":10165,""Amount"":3},{""ProductId"":10487,""Amount"":0},{""ProductId"":10300,""Amount"":2}]"
"ObjectId(""6296b205fc39a43814674e74"")",1316,"2019-09-08T12:49:02.000Z","{""Credit"":{""Quotes"":3,""Back"":""Banco de Crédito del Perú""}}","[{""ProductId"":10345,""Amount"":2},{""ProductId"":10417,""Amount"":2},{""ProductId"":10059,""Amount"":0},{""ProductId"":10193,""Amount"":1},{""ProductId"":10162,""Amount"":4},{""ProductId"":10389,""Amount"":1},{""ProductId"":10378,""Amount"":2},{""ProductId"":10240,""Amount"":0},{""ProductId"":10179,""Amount"":5}]"
"ObjectId(""6296b205fc39a43814674e75"")",1106,"2020-01-20T05:02:31.000Z","{""Cash"":""Cash""}","[{""ProductId"":10134,""Amount"":9},{""ProductId"":10252,""Amount"":3},{""ProductId"":10348,""Amount"":3},{""ProductId"":10162,""Amount"":4}]"
"ObjectId(""6296b205fc39a43814674e76"")",1985,"2019-09-13T09:05:42.000Z","{""Cash"":""Cash""}","[{""ProductId"":10139,""Amount"":3},{""ProductId"":10361,""Amount"":2},{""ProductId"":10350,""Amount"":3},{""ProductId"":10212,""Amount"":2},{""ProductId"":10265,""Amount"":0},{""ProductId"":10196,""Amount"":0},{""ProductId"":10067,""Amount"":6},{""ProductId"":10418,""Amount"":7},{""ProductId"":10328,""Amount"":0},{""ProductId"":10120,""Amount"":4},{""ProductId"":10482,""Amount"":0},{""ProductId"":10083,""Amount"":2},{""ProductId"":10337,""Amount"":0},{""ProductId"":10053,""Amount"":1}]"
"ObjectId(""6296b205fc39a43814674e77"")",1770,"2020-08-07T07:40:02.000Z","{""Cash"":""Cash""}","[{""ProductId"":10446,""Amount"":5},{""ProductId"":10445,""Amount"":4},{""ProductId"":10413,""Amount"":1},{""ProductId"":10155,""Amount"":4},{""ProductId"":10418,""Amount"":7},{""ProductId"":10160,""Amount"":2},{""ProductId"":10061,""Amount"":4},{""ProductId"":10418,""Amount"":7},{""ProductId"":10177,""Amount"":0},{""ProductId"":10175,""Amount"":3},{""ProductId"":10334,""Amount"":5},{""ProductId"":10160,""Amount"":2},{""ProductId"":10144,""Amount"":1},{""ProductId"":10213,""Amount"":4},{""ProductId"":10287,""Amount"":1},{""ProductId"":10115,""Amount"":6}]"
"ObjectId(""6296b205fc39a43814674e78"")",1854,"2020-05-23T20:19:35.000Z","{""Credit"":{""Quotes"":4,""Back"":""Banco Falabella""}}","[{""ProductId"":10334,""Amount"":5},{""ProductId"":10051,""Amount"":0},{""ProductId"":10010,""Amount"":8},{""ProductId"":10468,""Amount"":1},{""ProductId"":10268,""Amount"":2},{""ProductId"":10366,""Amount"":2},{""ProductId"":10084,""Amount"":1},{""ProductId"":10350,""Amount"":3},{""ProductId"":10325,""Amount"":1},{""ProductId"":10448,""Amount"":1},{""ProductId"":10145,""Amount"":0},{""ProductId"":10179,""Amount"":5},{""ProductId"":10314,""Amount"":4},{""ProductId"":10439,""Amount"":3},{""ProductId"":10133,""Amount"":3},{""ProductId"":10054,""Amount"":1}]"
"ObjectId(""6296b205fc39a43814674e79"")",1332,"2019-01-14T19:49:58.000Z","{""Cash"":""Cash""}","[{""ProductId"":10404,""Amount"":3},{""ProductId"":10250,""Amount"":1},{""ProductId"":10112,""Amount"":3},{""ProductId"":10261,""Amount"":2},{""ProductId"":10261,""Amount"":2},{""ProductId"":10232,""Amount"":5},{""ProductId"":10179,""Amount"":5},{""ProductId"":10288,""Amount"":1},{""ProductId"":10093,""Amount"":2}]"
"ObjectId(""6296b205fc39a43814674e7a"")",1570,"2020-03-06T13:10:40.000Z","{""Cash"":""Debit""}","[{""ProductId"":10007,""Amount"":3},{""ProductId"":10381,""Amount"":2},{""ProductId"":10128,""Amount"":3},{""ProductId"":10327,""Amount"":2},{""ProductId"":10110,""Amount"":4},{""ProductId"":10048,""Amount"":3},{""ProductId"":10123,""Amount"":2},{""ProductId"":10437,""Amount"":3},{""ProductId"":10378,""Amount"":2}]"
"ObjectId(""6296b205fc39a43814674e7b"")",1497,"2019-02-04T20:32:38.000Z","{""Cash"":""Cash""}","[{""ProductId"":10476,""Amount"":2},{""ProductId"":10229,""Amount"":0},{""ProductId"":10102,""Amount"":2},{""ProductId"":10099,""Amount"":0},{""ProductId"":10103,""Amount"":3},{""ProductId"":10048,""Amount"":3},{""ProductId"":10189,""Amount"":2},{""ProductId"":10168,""Amount"":1},{""ProductId"":10214,""Amount"":9},{""ProductId"":10318,""Amount"":1},{""ProductId"":10250,""Amount"":1},{""ProductId"":10231,""Amount"":2},{""ProductId"":10425,""Amount"":4},{""ProductId"":10115,""Amount"":6}]"
